family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,voltage_kv,power_kw
injection_electrons_s10x10,255,0.025500000000000002,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.002392833453223,9.999283681934063,-0.031084077289600387,0.006320372657442341,0.28912455323670133,3.2674246796767,10,100
injection_electrons_s10x10,255,0.025500000000000002,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.002392833453223,10.001494191692236,-0.008984267824208025,0.028428451005302335,0.5074332918143635,3.32178931958,10,500
injection_electrons_s10x10,260,0.026000000000000002,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.001452204911194,9.985396626715527,-0.16053246935262555,-0.13256890555424228,0.2834830280330439,3.3515129766335,10,100
injection_electrons_s10x10,260,0.026000000000000002,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.001452204911194,10.000224179724563,-0.012278468781046215,0.0157266187784888,0.49529386447993035,3.4357799587801985,10,500
injection_electrons_s10x10,265,0.026500000000000003,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.000827208189515,9.976296405250265,-0.24528773898985223,-0.2235833914180141,0.27802306944194544,3.2045208337766997,10,100
injection_electrons_s10x10,265,0.026500000000000003,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.000827208189515,9.994936470379516,-0.05890250563648225,-0.03715760489382269,0.483308050011958,3.543084438917999,10,500
injection_electrons_s10x10,270,0.027,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.000567091077919,9.973272753856048,-0.27292789472130874,-0.2538239826087252,0.2729527179464125,3.0331710599875,10,100
injection_electrons_s10x10,270,0.027,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.000567091077919,9.99574487160965,-0.04821946020011625,-0.029072502502280884,0.47242971505857295,2.9305123746367006,10,500
injection_electrons_s10x10,275,0.0275,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.00065512076562,9.976297846609159,-0.2435567856538201,-0.22356897588546865,0.26842424782795715,3.5304226910790995,10,100
injection_electrons_s10x10,275,0.0275,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.00065512076562,9.99586860390607,-0.04786203305432446,-0.027835012691035388,0.461408600828774,2.9485654790093996,10,500
injection_electrons_s10x10,280,0.028,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.001019677883559,9.983979677351684,-0.17038263177860946,-0.14674030988077735,0.26428490406997784,3.3954308028335,10,100
injection_electrons_s10x10,280,0.028,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.001019677883559,9.996164950778894,-0.04854232129349878,-0.024871144353277863,0.45218058992583454,2.8957084203551986,10,500
injection_electrons_s10x10,285,0.0285,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.001552679835747,9.994195846565537,-0.07355691166874845,-0.04456484172921105,0.2604424969984642,2.7295027750675,10,100
injection_electrons_s10x10,285,0.0285,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.001552679835747,9.998200600228403,-0.03351559217502631,-0.004511904882775752,0.44392731401959384,2.6760323314983,10,500
