case,n_sc_on,n_sc_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm
injection_electrons,100030,100030,24.994306808629283,24.99410534712514,24.993637462860125,-0.0018719784465770495,-0.0026779929296782967,0.08196441603939679,0.9657505041920995
extraction_electrons,100011,100011,9.976976528033545,9.977234828794398,9.976578086989514,-0.006582403001964554,-0.003993605105823139,0.10881248248762836,0.8630896664580003
injection_ions,99988,99988,24.954616645821833,24.954616645821833,29.00314652098677,16.22357070286946,16.22357070286946,4.6799785125880025,11.432744434566501
injection_h2o_ions,99988,99988,24.954616645821833,24.954616645821833,27.77331778116908,11.295309302293699,11.295309302293699,3.343337142264785,8.524985817180301
injection_n2_ions,99988,99988,24.954616645821833,24.954616645821833,27.393543116764345,9.773447957778437,9.773447957778437,2.887898957614294,7.416695492153998
