family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,species,species_label,beam,power_kw,sigma_x_mm
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,24.954616645821833,24.954616645821833,29.130749236978925,16.734909818205136,16.734909818205136,4.856956298008059,12.238165351663795,ions,H₂⁺,injection,100,25
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,24.954616645821833,24.954616645821833,29.11311819174505,16.664257379483626,16.664257379483626,4.83660306103956,12.181918457656899,ions,H₂⁺,injection,100,25
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,24.954616645821833,24.954616645821833,28.707080456311623,15.03715269903001,15.03715269903001,4.367545440633887,10.889734903652595,ions,H₂⁺,injection,100,25
injection_ions,0,0.0,99986,99988,99988,99988,0.999979997599712,1.0,24.951020528681767,24.954616645821833,33.536496866239396,34.38995013315276,34.40931936105951,35.95835802536015,182.6043969932386,ions,H₂⁺,injection,200,25
injection_ions,200,0.02,99986,99988,99988,99988,0.999979997599712,1.0,24.951020528681767,24.954616645821833,33.4995499923888,34.24189386615022,34.26124175514307,35.929867016457635,182.5443050645469,ions,H₂⁺,injection,200,25
injection_ions,1000,0.1,99987,99988,99988,99988,0.999989998799856,1.0,24.952689174647368,24.954616645821833,32.65208510135932,30.845869382755176,30.85597657560193,33.29654361703721,155.3993876109454,ions,H₂⁺,injection,200,25
injection_ions,0,0.0,99976,99988,99988,99988,0.9998799855982718,1.0,24.93458362550389,24.954616645821833,38.156194129718195,52.90234537065794,53.025190646018316,41.258293545045646,182.5978534577396,ions,H₂⁺,injection,300,25
injection_ions,200,0.02,99977,99988,99988,99988,0.9998899867984158,1.0,24.936452449401713,24.954616645821833,38.09946673325693,52.675023118962436,52.78623457191496,41.1804953711302,182.5874687968211,ions,H₂⁺,injection,300,25
injection_ions,1000,0.1,99981,99988,99988,99988,0.9999299915989919,1.0,24.942420351713903,24.954616645821833,36.7726844102332,47.358242092611235,47.43029702691377,38.441241682174244,167.4298525629185,ions,H₂⁺,injection,300,25
injection_ions,0,0.0,99940,99988,99988,99988,0.9995199423930872,1.0,24.891359148028847,24.954616645821833,42.981187914781955,72.23742013275256,72.67513460865251,48.811000531016965,172.8993794235261,ions,H₂⁺,injection,400,25
