family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,mean_initial_mm,mean_sc_on_mm,mean_sc_off_mm,centroid_shift_vs_no_sc_mm,beam,dx_mm,dy_mm,power_kw
injection_electrons,0,0.0,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.415262351080944,5.428391013297002,-47.880419807825405,-45.70876994272535,10.36987368721731,27.421398191565196,0.025766252849588486,-0.0056920914774311535,0.019699540054796055,-0.025391631532227208,injection,0,0,100
injection_electrons,100,0.01,100031,100031,100031,100031,1.0,1.0,9.998651729884015,9.999928557309948,10.902331138260724,9.024090280036257,9.038012652003747,1.0431522849349817,3.0127171633413994,0.025766252849588486,-0.12551177841116748,0.02833972223227275,-0.15385150064344022,injection,0,0,100
injection_electrons,200,0.02,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.000411327493904,10.12857506755616,1.2815846855208646,1.2994085720960724,0.2421750718304509,2.6763715584392997,0.025766252849588486,-0.029374281000902922,0.03176792401612405,-0.06114220501702697,injection,0,0,100
injection_electrons,300,0.030000000000000002,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.001144232759604,10.061877224396063,0.6072604316366581,0.6323402016601865,0.18386901952014653,2.4395684889063,0.025766252849588486,-0.010510127062774741,0.03757032110622655,-0.0480804481690013,injection,0,0,100
injection_electrons,1000,0.1,100031,100031,100031,100031,1.0,1.0,9.998651729884015,9.998798806214241,9.996580258936097,-0.02218813800678454,-0.020717502758160755,0.10585273788127952,1.3976130262282993,0.025766252849588486,0.025480995900246755,0.034078399549812316,-0.008597403649565561,injection,0,0,100
injection_electrons,0,0.0,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.415262351080944,18.789321801302332,80.40181003556084,87.91855451015182,26.813225192893,107.75382918849111,0.025766252849588486,-0.011306169410601417,0.019699540054796055,-0.03100570946539747,injection,0,0,500
injection_electrons,100,0.01,100031,100031,100031,100031,1.0,1.0,9.998651729884015,9.999928557309948,10.193096568424611,1.9316939116875709,1.9447105849225377,2.960683485158061,13.9320925286597,0.025766252849588486,-0.5440029445472059,0.02833972223227275,-0.5723426667794786,injection,0,0,500
injection_electrons,200,0.02,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.000411327493904,9.99641250157758,-0.03998661440384188,-0.022395302556066365,0.7778980216302268,4.531200650847278,0.025766252849588486,-0.2473087282952603,0.03176792401612405,-0.27907665231138434,injection,0,0,500
injection_electrons,300,0.030000000000000002,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.001144232759604,9.986592052911165,-0.14550514930853353,-0.12061303162311798,0.42252067755569556,3.0151956177741006,0.025766252849588486,-0.15421381587269822,0.03757032110622655,-0.19178413697892477,injection,0,0,500
injection_electrons,1000,0.1,100031,100031,100031,100031,1.0,1.0,9.998651729884015,9.998798806214241,9.9988992001442,0.0010040599066396538,0.002475036303595246,0.13210341011206644,1.4207984988823004,0.025766252849588486,-0.024436899567588974,0.034078399549812316,-0.05851529911740129,injection,0,0,500
injection_electrons,0,0.0,100031,100031,100031,100031,1.0,1.0,9.99865172988402,10.415262351080946,5.4283910132970155,-47.880419807825284,-45.70876994272525,10.369873687217325,27.421398191565203,5.02576625284957,4.994307908522535,5.019699540054778,-0.02539163153224333,injection,5,0,100
injection_electrons,100,0.01,100031,100031,100031,100031,1.0,1.0,9.99865172988402,9.999928557309953,10.902331138260728,9.024090280036233,9.038012652003724,1.0431522849349797,3.0127171633413994,5.02576625284957,4.874488221588816,5.0283397222322535,-0.15385150064343733,injection,5,0,100
injection_electrons,200,0.02,100031,100031,100031,100031,1.0,1.0,9.99865172988402,10.000411327493909,10.128575067556163,1.2815846855208424,1.2994085720960502,0.24217507183045064,2.6763715584392003,5.02576625284957,4.970625718999079,5.031767924016105,-0.06114220501702583,injection,5,0,100
injection_electrons,300,0.030000000000000002,100031,100031,100031,100031,1.0,1.0,9.99865172988402,10.001144232759609,10.061877224396067,0.6072604316366359,0.6323402016601642,0.1838690195201465,2.4395684889062,5.02576625284957,4.989489872937207,5.037570321106208,-0.048080448169001144,injection,5,0,100
injection_electrons,1000,0.1,100031,100031,100031,100031,1.0,1.0,9.99865172988402,9.998798806214245,9.996580258936104,-0.022188138006751235,-0.020717502758149653,0.10585273788127955,1.3976130262282993,5.02576625284957,5.025480995900228,5.034078399549794,-0.008597403649566182,injection,5,0,100
injection_electrons,0,0.0,100031,100031,100031,100031,1.0,1.0,9.99865172988402,10.415262351080946,18.789321801302517,80.40181003556258,87.91855451015358,26.8132251928931,107.7538291884911,5.02576625284957,4.988693830589429,5.019699540054778,-0.031005709465349085,injection,5,0,500
injection_electrons,100,0.01,100031,100031,100031,100031,1.0,1.0,9.99865172988402,9.999928557309953,10.193096568424627,1.931693911687682,1.9447105849226487,2.9606834851580848,13.9320925286597,5.02576625284957,4.455997055452735,5.0283397222322535,-0.5723426667795186,injection,5,0,500
