mode,block,beam,energy_mev,sigma_t_ns,sigma_mm,dx_mm,dy_mm,voltage_kv,power_kw,b_gs,species,train,sc_on,reuse
e,E3,extraction,1600.0,20.0,10,0,0,10,500,80,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,10,100,80,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,10,100,95,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,10,500,95,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,10,100,95,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,10,100,115,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,10,500,115,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,10,100,115,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,10,100,130,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,10,500,130,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,10,100,130,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,10,100,145,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,10,500,145,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,10,100,145,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,10,100,160,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,10,500,160,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,10,100,160,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,10,100,180,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,10,500,180,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,10,100,180,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,10,100,195,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,10,500,195,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,10,100,195,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,10,100,1000,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,10,500,1000,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,10,100,1000,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,15,100,0,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,15,500,0,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,15,100,0,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,15,100,20,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,15,500,20,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,15,100,20,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,15,100,40,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,15,500,40,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,15,100,40,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,15,100,60,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,15,500,60,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,15,100,60,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,15,100,80,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,15,500,80,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,15,100,80,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,15,100,100,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,15,500,100,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,15,100,100,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,15,100,120,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,15,500,120,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,15,100,120,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,15,100,140,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,15,500,140,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,15,100,140,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,15,100,160,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,15,500,160,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,15,100,160,,3-bunch,False,False
e,E3,extraction,1600.0,20.0,10,0,0,15,100,180,,3-bunch,True,False
e,E3,extraction,1600.0,20.0,10,0,0,15,500,180,,3-bunch,True,False
