case,n_sc_on,n_sc_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm
injection_electrons_sig10,100031,100031,9.998651729884015,9.998865619516264,9.997243304000161,-0.016224995692881716,-0.014086158033133067,0.10503916120136675,1.3655281841830025
extraction_electrons,100011,100011,9.976976528033545,9.977234828794398,9.976578086989514,-0.006582403001964554,-0.003993605105823139,0.10881248248762836,0.8630896664580003
injection_ions_sig10,99988,99988,9.98184665832871,9.98184665832871,18.682315741490463,87.16292065959766,87.16292065959766,9.489165740973888,22.600951693012
injection_h2o_ions_sig10,99988,99988,9.98184665832871,9.98184665832871,16.91460584383129,69.45367348152945,69.45367348152945,7.702080819413896,18.9565716036335
injection_n2_ions_sig10,99988,99988,9.98184665832871,9.98184665832871,16.08341151716792,61.12661381897861,61.12661381897861,6.829727852162501,17.064602240155406
