family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,mean_initial_mm,mean_sc_on_mm,mean_sc_off_mm,centroid_shift_vs_no_sc_mm,beam,dx_mm,dy_mm,power_kw
injection_electrons,0,0.0,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.379828896991508,5.279229518450715,-49.1395323483526,-47.20058602829289,9.810050255741308,25.2584267477486,0.025766252849588486,-0.004141695777406749,0.020039787584507224,-0.024181483361913975,injection,0,-10,100
injection_electrons,0,0.0,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.379828896991508,17.981998551367116,73.23983593389505,79.84423337421023,26.029126773295342,103.4196364744746,0.025766252849588486,-0.013630325049380915,0.020039787584507224,-0.03367011263388814,injection,0,-10,500
injection_electrons,25,0.0025,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.342234767316242,5.345350438581701,-48.315324890185295,-46.53928766610109,7.372193171732626,19.3548676948926,0.025766252849588486,0.12030102881320608,0.23554379207461643,-0.11524276326141035,injection,0,-10,100
injection_electrons,25,0.0025,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.342234767316242,10.63320651665128,2.8134320664869428,6.346403534295564,14.988999055925815,66.6695029637692,0.025766252849588486,-0.7536981094357751,0.23554379207461643,-0.9892419015103915,injection,0,-10,500
injection_electrons,50,0.005,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.205544228923518,8.095217995202868,-20.67823318760187,-19.036904035692693,2.4473158126480254,7.208281689557499,0.025766252849588486,0.07413366084721001,0.25509338775397855,-0.18095972690676854,injection,0,-10,100
injection_electrons,50,0.005,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.205544228923518,12.925171297236144,26.648525618113883,29.26914194446171,6.352269017882035,29.3137393316317,0.025766252849588486,-0.876594777959767,0.25509338775397855,-1.1316881657137456,injection,0,-10,500
injection_electrons,75,0.007500000000000001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.057933554047189,10.800890127634243,7.386771543028314,8.023465757413017,1.008764941838722,5.1944221668204,0.025766252849588486,-0.07140106480963905,0.12354657841522947,-0.19494764322486852,injection,0,-10,100
injection_electrons,75,0.007500000000000001,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.057933554047189,12.949793008653266,28.7520238532738,29.515392259827067,4.951118078062594,21.9949001035756,0.025766252849588486,-0.7217703197887132,0.12354657841522947,-0.8453168982039426,injection,0,-10,500
injection_electrons,100,0.01,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.001966999716277,10.986543333601032,9.843827058344456,9.880248161503635,1.1389692541369922,3.271437112390501,0.025766252849588486,-0.1202068401778727,0.03207654458496084,-0.15228338476283354,injection,0,-10,100
injection_electrons,100,0.01,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.001966999716277,10.571317838153664,5.692388691679717,5.727433295411832,3.012146011129275,13.395895046894097,0.025766252849588486,-0.5332024628070464,0.03207654458496084,-0.5652790073920073,injection,0,-10,500
injection_electrons,125,0.0125,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.005870578974305,10.055411205873625,0.4951156074656904,0.5676712973206932,0.2978718534459817,3.0899287646796996,0.025766252849588486,-0.043674220983164126,0.05276933463219975,-0.09644355561536389,injection,0,-10,100
injection_electrons,125,0.0125,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.005870578974305,9.544823461427889,-4.607766149956316,-4.538894650162906,2.0719125976674704,10.0346986968163,0.025766252849588486,-0.3735050879004107,0.05276933463219975,-0.42627442253261044,injection,0,-10,500
