family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm
injection_electrons,0,0.0,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.153742397715664,20.282497718409495,-19.365884417058165,-18.851529375453758,5.921366001236805,15.181340404281702
injection_electrons,50,0.005,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.07720446349852,23.519903013838526,-6.210028123057921,-5.898958535156174,1.77430558329455,4.401203641302601
injection_electrons,100,0.01,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.995694402609047,25.337228756056877,1.3663727358267819,1.3720002321056635,0.4313586623953067,1.7631387702579993
injection_electrons,200,0.02,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.9958761047765,25.034385381166736,0.15406251906839863,0.16035080646292776,0.11485985478112988,1.4574043465937994
extraction_electrons,0,0.0,100011,100011,100011,100011,1.0,1.0,9.976976528033545,10.490573821873728,15.452786604884523,47.3016335165972,54.884463860017284,23.992648307313324,64.1979302957052
extraction_electrons,50,0.005,100011,100011,100011,100011,1.0,1.0,9.976976528033545,10.13677231130056,9.283507241932952,-8.417522295695445,-6.950695775940396,3.557073918783291,17.1719842523293
extraction_electrons,100,0.01,100011,100011,100011,100011,1.0,1.0,9.976976528033545,9.978409998441569,10.9811126855671,10.048722063756976,10.06453362611519,2.0637039258491936,8.296417966830802
extraction_electrons,200,0.02,100011,100011,100011,100011,1.0,1.0,9.976976528033545,9.978464550571003,10.05998975161015,0.8170114813353946,0.8320478989136015,0.6442500945590935,4.0880938501996
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,24.954616645821833,24.954616645821833,29.45952519523956,18.05240534589414,18.05240534589414,5.201361028448406,12.819507784127296
injection_ions,50,0.005,99988,99988,99988,99988,1.0,1.0,24.954616645821833,24.954616645821833,29.458337574886354,18.0476462250867,18.0476462250867,5.200005547303871,12.8158938129056
injection_ions,100,0.01,99988,99988,99988,99988,1.0,1.0,24.954616645821833,24.954616645821833,29.454776342364354,18.033375388661742,18.033375388661742,5.195940986256016,12.8050551270779
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,24.954616645821833,24.954616645821833,29.44055317333774,17.976379245509232,17.976379245509232,5.179707008559924,12.761767098604793
extraction_ions,0,0.0,100007,100007,100007,100007,1.0,1.0,10.019461502661958,10.019461502661958,13.125691586388069,31.00196635219219,31.00196635219219,3.896432821180049,30.6012187751651
extraction_ions,50,0.005,100007,100007,100007,100007,1.0,1.0,10.019461502661958,10.019461502661958,13.125270305547701,30.997761726621697,30.997761726621697,3.895878545989505,30.590893368814598
extraction_ions,100,0.01,100007,100007,100007,100007,1.0,1.0,10.019461502661958,10.019461502661958,13.124006872296434,30.985151934659005,30.985151934659005,3.894215150532392,30.559973920991304
extraction_ions,200,0.02,100007,100007,100007,100007,1.0,1.0,10.019461502661958,10.019461502661958,13.118957707009281,30.934758355265423,30.934758355265423,3.8875660330721225,30.4365346256074
