family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,beam,power_kw,sigma_x_mm
injection_electrons,0,0.0,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.153487169926713,20.622598883843324,-18.01296279706489,-17.4908148413887,5.522576177824734,14.373484167891203,injection,100,25
injection_electrons,5,0.0005,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.152562390850953,20.663190047953577,-17.84856855987901,-17.32841320160312,5.467312545608385,14.229681924840104,injection,100,25
injection_electrons,10,0.001,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.150725751220534,20.784454399604982,-17.3604189191386,-16.843245308851095,5.304045379525843,13.762303263613102,injection,100,25
injection_electrons,15,0.0015,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.1477007789759,20.981759836447914,-16.565891964210167,-16.053843792923427,5.040143983583455,12.995602831570704,injection,100,25
injection_electrons,20,0.002,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.14310362187921,21.24744320016309,-15.493952060580796,-14.990868269139545,4.687422066588948,11.969245619107902,injection,100,25
injection_electrons,25,0.0025,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.13657533625654,21.571098544657573,-14.184417502793977,-13.69595200291711,4.26152280393372,10.735502633514798,injection,100,25
injection_electrons,30,0.003,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.127910478831247,21.94020154791407,-12.685929192571056,-12.219203693461832,3.7806718370507912,9.355581783851903,injection,100,25
injection_electrons,35,0.0035,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.117146336415583,22.34054401206668,-11.05460901950992,-10.617469077583664,3.26492693330672,7.914876270585701,injection,100,25
injection_electrons,40,0.004,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.104590467462543,22.756998769591842,-9.351244749096221,-8.951270608013061,2.734853560499635,6.565698775168002,injection,100,25
injection_electrons,45,0.0045000000000000005,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.09078309049993,23.174233382806932,-7.638461106535399,-7.281952005142111,2.2106133448080945,5.268018827001001,injection,100,25
injection_electrons,50,0.005,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.076409007973325,23.577680036148685,-5.976649094166964,-5.667797804224395,1.710807764090625,4.1729292314871955,injection,100,25
injection_electrons,55,0.0055000000000000005,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.06218577186657,23.954352975025916,-4.420335907350292,-4.160762855180778,1.2518733324200453,3.247879585731198,injection,100,25
injection_electrons,60,0.006,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.048757731134252,24.293253696760242,-3.0161337439699065,-2.8048511896597295,0.8483597946113303,2.4427714680500046,injection,100,25
injection_electrons,65,0.006500000000000001,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.036619686464082,24.586221835347466,-1.7989563158165578,-1.632711706735257,0.5148365503317784,1.8103915420229022,injection,100,25
injection_electrons,70,0.007,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.02608212034327,24.828051629569377,-0.7912964155620483,-0.6651721943434996,0.27846125923951154,1.6094312147170005,injection,100,25
injection_electrons,75,0.007500000000000001,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.01727683288973,25.016554055456268,-0.00288911314485496,0.08900925717734154,0.2115548522407178,1.7768170648724997,injection,100,25
injection_electrons,80,0.008,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.010191538796892,25.15262551577632,0.5695037431380001,0.6334190756287716,0.2821695743382036,1.7471829564460997,injection,100,25
injection_electrons,85,0.0085,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.00471718792093,25.239676607435015,0.9396603758733413,0.9817027560893088,0.35343505170645384,1.6252094071007974,injection,100,25
injection_electrons,90,0.009000000000000001,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,25.000692827456323,25.283355005819548,1.1306173805423425,1.156456145807061,0.388950225233416,1.5352615611308948,injection,100,25
injection_electrons,95,0.0095,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.99793811376982,25.290778022582167,1.1714562516299765,1.1861549761025048,0.3881948044770919,1.5444409542410007,injection,100,25
injection_electrons,100,0.01,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.996270446861736,25.269991897686147,1.0950491650596472,1.1029915379036748,0.35848811822093285,1.6317967686919008,injection,100,25
injection_electrons,105,0.0105,100030,100030,100031,100031,0.9999900030990393,0.9999900030990393,24.994306808629283,24.995509557243548,25.229312720764444,0.9353806650168606,0.9402377666822392,0.3093139576300852,1.605232987995299,injection,100,25
