family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,power_kw,sigma_x_mm
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,2.9945539974985853,2.9945539974985853,26.66481716304629,790.4436916255302,790.4436916255302,24.31087537187729,58.641862050234,100,3
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,3.9927386633314605,3.9927386633314605,22.48730141588955,463.20494056895274,463.20494056895274,19.176808500677133,45.92378403250039,100,4
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,4.990923329164335,4.990923329164335,20.325034344486486,307.2399635097109,307.2399635097109,16.050961998163178,38.2876910759084,100,5
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,5.989107994997211,5.989107994997211,19.184339047094415,220.32047281697666,220.32047281697666,13.940680926187316,33.1630602367867,100,6
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,6.987292660830085,6.987292660830085,18.621324795880373,166.50271714349768,166.50271714349768,12.400372547644906,29.4812652153488,100,7
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,7.98547732666296,7.98547732666296,18.42094770617974,130.68060871794677,130.68060871794677,11.215310806164403,26.6157616661379,100,8
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,8.983661992495835,8.983661992495835,18.46458585966897,105.53518014249276,105.53518014249276,10.267755013168776,24.425356214314,100,9
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,18.682315741490463,87.16292065959766,87.16292065959766,9.489165740973888,22.600951693012,100,10
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,10.980031324161585,10.980031324161585,19.028533330127168,73.30126634752703,73.30126634752703,8.834900626200309,21.024688584177905,100,11
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,11.97821598999446,11.97821598999446,19.472786398228283,62.56833583977883,62.56833583977883,8.27551505136639,19.763133672248497,100,12
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,12.976400655827335,12.976400655827335,19.993516062442218,54.07597678839928,54.07597678839928,7.790242430622547,18.5645939303381,100,13
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,13.974585321660209,13.974585321660209,20.57561727988713,47.23597735666267,47.23597735666267,7.364547060554587,17.6051332891253,100,14
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,14.972769987493084,14.972769987493084,21.207310388644853,41.639191721769244,41.639191721769244,6.987306997036231,16.741618575380596,100,15
